새주소,지번주소,location1,location2,테마코드,콘텐츠 코드,"언어셋(KOR : 국문, ENG : 영문, JP : 일문, CHA : 중문-간체, CHB : 중문-번체)",콘텐츠 명,시도명(텍스트),구명,동명,산지여부,주 번지,부 번지,기타주소,전화번호,상세정보 값 1,상세정보 값 2,상세정보 값 3,상세정보 값 4,상세정보 값 5,상세정보 값 6,상세정보 값 7,상세정보 값 8,상세정보 값 9,상세정보 값 10,상세정보 값 11,상세정보 값 12,상세정보 값 13,상세정보 값 14,상세정보 값 15,상세정보 값 16,상세정보 값 17,상세정보 값 18,상세정보 값 19,상세정보 값 20,상세정보 이름 1,상세정보 이름 2,상세정보 이름 3,상세정보 이름 4,상세정보 이름 5,상세정보 이름 6,상세정보 이름 7,상세정보 이름 8,상세정보 이름 9,상세정보 이름 10,상세정보 이름 11,상세정보 이름 12,상세정보 이름 13,상세정보 이름 14,상세정보 이름 15,상세정보 이름 16,상세정보 이름 17,상세정보 이름 18,상세정보 이름 19,상세정보 이름 20,좌표데이터,좌표 타입 (1:Point 3:Polyline 4:MultiPolyline 5:Polygon 6:MultiPolygon 8:multiPoint),선 두께 1~10,테마 선 색상,키워드,등록일,수정일
서울특별시 용산구 이태원로 224-19,서울특별시 용산구 한남동 685-46,127.0002161,37.5349277,100180,wtb_03_03_009,KOR,한남동공영주차장,,용산구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,주차장건물 1층,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
서울특별시 용산구 효창원로 161,서울특별시 용산구 효창동 255-5,126.9618024,37.54254005,100180,wtb_03_04_010,KOR,효창동주민센터,,용산구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,입구 우측 벽면,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
서울특별시 용산구 신흥로 90,서울특별시 용산구 용산동2가 11-13,126.9854967,37.54594471,100180,wtb_03_05_011,KOR,용산치안센터,,용산구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,치안센터 입구 우측 주차장,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
효창원로86길 33,용산구 청파동2가 1-157,126.9656698,37.5467136,100180,wtb_03_06_172,KOR,숙대 명재관 인근,,용산구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,명재관 입구 우측 주차구역 옆,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,2,#0000FF,,2018.6.28 10:14,2018.8.7 14:31
서울특별시 성동구 왕십리로21라길 11,서울특별시 성동구 하왕십리동 978-1,127.0305453,37.56053503,100180,wtb_04_01_012,KOR,이든 아이빌,,성동구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,1층 주차장 앞,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
서울특별시 성동구 고산자로10길 9,서울특별시 성동구 행당동 142-4,127.0349324,37.55917249,100180,wtb_04_02_013,KOR,성동구립도서관,,성동구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,도서관 입구 우측(도서반납합 옆),,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
동호로8다길 22,중구 신당동 349-234,127.0134605,37.55221748,100180,wtb_04_03_014,KOR,약수동 공영주차장,,중구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,주차장 입구 들어가서 우측벽면,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,2,#0000FF,,2018.6.28 10:14,2018.8.7 15:40
왕십리로 89,성동구 성수동1가 685-697,127.0444267,37.54563967,100180,wtb_04_04_174,KOR,성동구민종합체육센터,,성동구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,정문입구 옆,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,2,#0000FF,,2018.6.28 10:14,2018.8.7 15:23
서울특별시 광진구 아차산로30길 36,서울특별시 광진구 자양동 9-13,127.0667172,37.53940433,100180,wtb_05_01_015,KOR,동부여성발전센터,,광진구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,입구 우측,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
서울특별시 광진구 아차산로30길 36,서울특별시 광진구 자양동 9-13,127.0667172,37.53940433,100180,wtb_05_02_016,KOR,동부여성발전센터2,,광진구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,입구 우측,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
